Period	Grupp	Serie	Värde
2021-04-20	Valutor mot svenska kronor	1 THB	0,2681
2021-04-21	Valutor mot svenska kronor	1 THB	0,2698
2021-04-22	Valutor mot svenska kronor	1 THB	0,2681
2021-04-23	Valutor mot svenska kronor	1 THB	0,268
2021-04-26	Valutor mot svenska kronor	1 THB	0,2661
2021-04-27	Valutor mot svenska kronor	1 THB	0,2672
2021-04-28	Valutor mot svenska kronor	1 THB	0,2674
2021-04-29	Valutor mot svenska kronor	1 THB	0,2671
2021-04-30	Valutor mot svenska kronor	1 THB	0,2688
2021-04-01	Valutor mot svenska kronor	1 TRY	1,0641
2021-04-06	Valutor mot svenska kronor	1 TRY	1,0699
2021-04-07	Valutor mot svenska kronor	1 TRY	1,0543
2021-04-08	Valutor mot svenska kronor	1 TRY	1,0526
2021-04-09	Valutor mot svenska kronor	1 TRY	1,048
2021-04-12	Valutor mot svenska kronor	1 TRY	1,0447
2021-04-13	Valutor mot svenska kronor	1 TRY	1,0502
2021-04-14	Valutor mot svenska kronor	1 TRY	1,0473
2021-04-15	Valutor mot svenska kronor	1 TRY	1,0465
2021-04-16	Valutor mot svenska kronor	1 TRY	1,0437
2021-04-19	Valutor mot svenska kronor	1 TRY	1,0454
2021-04-20	Valutor mot svenska kronor	1 TRY	1,0325
2021-04-21	Valutor mot svenska kronor	1 TRY	1,0372
2021-04-22	Valutor mot svenska kronor	1 TRY	1,0081
2021-04-23	Valutor mot svenska kronor	1 TRY	1,0086
2021-04-26	Valutor mot svenska kronor	1 TRY	0,997
2021-04-27	Valutor mot svenska kronor	1 TRY	1,0153
2021-04-28	Valutor mot svenska kronor	1 TRY	1,0207
2021-04-29	Valutor mot svenska kronor	1 TRY	1,0198
2021-04-30	Valutor mot svenska kronor	1 TRY	1,0164
2021-04-01	Valutor mot svenska kronor	1 USD	8,7436
2021-04-06	Valutor mot svenska kronor	1 USD	8,7072
2021-04-07	Valutor mot svenska kronor	1 USD	8,6242
2021-04-08	Valutor mot svenska kronor	1 USD	8,6011
2021-04-09	Valutor mot svenska kronor	1 USD	8,5574
2021-04-12	Valutor mot svenska kronor	1 USD	8,5697
2021-04-13	Valutor mot svenska kronor	1 USD	8,5749
2021-04-14	Valutor mot svenska kronor	1 USD	8,4885
2021-04-15	Valutor mot svenska kronor	1 USD	8,4473
2021-04-16	Valutor mot svenska kronor	1 USD	8,443
2021-04-19	Valutor mot svenska kronor	1 USD	8,4303
2021-04-20	Valutor mot svenska kronor	1 USD	8,3722
2021-04-21	Valutor mot svenska kronor	1 USD	8,4455
2021-04-22	Valutor mot svenska kronor	1 USD	8,3988
2021-04-23	Valutor mot svenska kronor	1 USD	8,4066
2021-04-26	Valutor mot svenska kronor	1 USD	8,3719
2021-04-27	Valutor mot svenska kronor	1 USD	8,3874
2021-04-28	Valutor mot svenska kronor	1 USD	8,3941
2021-04-29	Valutor mot svenska kronor	1 USD	8,3451
2021-04-30	Valutor mot svenska kronor	1 USD	8,3845
2021-04-01	Valutor mot svenska kronor	1 ZAR	0,5923
2021-04-06	Valutor mot svenska kronor	1 ZAR	0,5967
2021-04-07	Valutor mot svenska kronor	1 ZAR	0,5932
2021-04-08	Valutor mot svenska kronor	1 ZAR	0,5943
2021-04-09	Valutor mot svenska kronor	1 ZAR	0,5869
2021-04-12	Valutor mot svenska kronor	1 ZAR	0,5853
2021-04-13	Valutor mot svenska kronor	1 ZAR	0,5885
2021-04-14	Valutor mot svenska kronor	1 ZAR	0,5852
2021-04-15	Valutor mot svenska kronor	1 ZAR	0,5892
2021-04-16	Valutor mot svenska kronor	1 ZAR	0,5949
2021-04-19	Valutor mot svenska kronor	1 ZAR	0,5915
2021-04-20	Valutor mot svenska kronor	1 ZAR	0,5888
2021-04-21	Valutor mot svenska kronor	1 ZAR	0,5906
2021-04-22	Valutor mot svenska kronor	1 ZAR	0,5897
2021-04-23	Valutor mot svenska kronor	1 ZAR	0,5888
2021-04-26	Valutor mot svenska kronor	1 ZAR	0,5871
2021-04-27	Valutor mot svenska kronor	1 ZAR	0,5865
2021-04-28	Valutor mot svenska kronor	1 ZAR	0,5822
2021-04-29	Valutor mot svenska kronor	1 ZAR	0,589
2021-04-30	Valutor mot svenska kronor	1 ZAR	0,5832
